ID	Name	photo	Lv	luck	spd	hp	ac	mac	Dc	Dc2	Mc	Mc2	Sc	Sc2	Need	NeedLvl	Price
301041	王者之杖	301041	9	0	0	0	0	0	9	34	10	23	0	0	0	85	85000
301042	王者之剑	301042	9	0	0	0	0	0	10	42	0	0	8	22	0	85	85000
301043	炎龙刃	301043	10	0	0	0	0	0	14	77	0	0	0	0	0	95	95000
301044	雷龙杖	301044	10	0	0	0	0	0	12	46	14	36	0	0	0	95	95000
301045	青龙刺	301045	10	0	0	0	0	0	14	56	0	0	10	34	0	95	95000
301046	黄金裁决	301046	11	0	0	0	0	0	0	116	0	0	0	0	0	105	105000
301047	紫金嗜魂法杖	301047	11	0	0	0	0	0	14	60	20	50	0	0	0	105	105000
301048	赤金逍遥扇	301048	11	0	0	0	0	0	16	70	0	0	16	50	0	105	105000
301049	天龙圣剑	301049	12	0	0	0	0	0	29	149	0	0	0	0	0	120	120000
301050	天龙道剑	301049	12	0	0	0	0	0	19	84	0	0	29	72	0	120	120000
301051	天龙魔剑	301049	12	0	0	0	0	0	17	70	29	67	0	0	0	120	120000
301052	倚天	301052	13	0	0	0	0	0	57	169	39	78	39	83	0	135	135000
301053	传奇战刃	301053	14	0	0	0	0	0	70	202	0	0	0	0	0	150	150000
301054	传奇魔刃	301054	14	0	0	0	0	0	28	90	42	101	0	0	0	150	150000
301055	传奇道刃	301055	14	0	0	0	0	0	28	118	0	0	42	106	0	150	150000
301056	断罪	301056	15	0	0	0	0	0	85	230	0	0	0	0	0	165	165000
301057	龙渊	301057	15	0	0	0	0	0	0	0	50	124	0	0	0	165	165000
301058	承影	301058	15	0	0	0	0	0	0	0	0	0	48	120	0	165	165000
301059	天都	301059	16	0	0	0	0	0	92	255	0	0	0	0	0	180	180000
301060	魅影	301060	16	0	0	0	0	0	0	0	56	153	0	0	0	180	180000
301061	湛蓝圣刃	301061	16	0	0	0	0	0	0	0	0	0	58	142	0	180	180000
302001	布衣(男)	302001	1	0	0	0	1	1	0	0	0	0	0	0	0	1	120
302002	轻型盔甲(男)	302002	1	0	0	0	3	2	0	0	0	0	0	0	0	11	3000
302003	中型盔甲(男)	302003	1	0	0	0	4	2	0	0	0	0	0	0	0	16	6000
302004	重盔甲(男)	302004	1	0	0	0	6	3	0	0	0	0	0	0	0	22	10000
302005	魔法长袍(男)	302005	1	0	0	0	4	4	0	0	0	0	0	0	0	22	10000
302006	灵魂战衣(男)	302006	1	0	0	0	5	3	0	0	0	0	0	0	0	22	10000
302007	战神盔甲(男)	302004	2	0	0	0	7	4	0	0	0	0	0	0	1	46	25000
302008	幽灵战衣(男)	302006	2	0	0	0	6	3	0	0	0	0	0	0	3	27	22000
302009	恶魔长袍(男)	302005	2	0	0	0	6	4	0	0	0	0	0	0	2	28	22000
302010	天魔神甲	302010	5	0	0	0	9	6	0	0	0	0	0	0	0	40	50000
302011	法神披风	302011	5	0	0	0	7	8	0	0	0	0	0	0	0	40	50000
302012	天尊道袍	302012	5	0	0	0	7	7	0	0	0	0	0	0	0	40	50000
302013	雷霆战甲(男)	302013	6	0	0	0	9	6	0	0	0	0	0	0	0	48	80000
302014	烈焰魔衣(男)	302013	6	0	0	0	7	8	0	0	0	0	0	0	0	48	80000
302015	光芒道袍(男)	302013	6	0	0	0	8	8	0	0	0	0	0	0	0	48	80000
302016	凤天魔甲	302016	6	0	0	0	10	8	0	0	0	0	0	0	0	52	120000
302017	虎啸战甲(男)	302017	7	0	0	0	13	10	0	0	0	0	0	0	1	65	90000
302018	聚魔法衣(男)	302018	7	0	0	0	10	13	0	0	0	0	0	0	2	52	90000
302019	暗咒道袍(男)	302019	7	0	0	0	11	11	0	0	0	0	0	0	3	48	90000
302020	王者甲(男)	302020	9	0	0	0	21	19	0	0	0	0	0	0	0	85	100000
302021	王者衣(男)	302021	9	0	0	0	19	21	0	0	0	0	0	0	0	85	100000
302022	王者袍(男)	302022	9	0	0	0	20	20	0	0	0	0	0	0	0	85	100000
302023	天龙甲(男)	302023	12	0	0	0	31	28	0	0	0	0	0	0	0	120	120000
302024	天龙衣(男)	302023	12	0	0	0	28	31	0	0	0	0	0	0	0	120	120000
302025	天龙袍(男)	302023	12	0	0	0	27	27	0	0	0	0	0	0	0	120	120000
302026	倚天甲(男)	302026	13	0	0	0	43	36	0	0	0	0	0	0	0	135	135000
302027	倚天衣(男)	302026	13	0	0	0	36	43	0	0	0	0	0	0	0	135	135000
302028	倚天袍(男)	302026	13	0	0	0	36	36	0	0	0	0	0	0	0	135	135000
302029	传奇神装(男)	302029	14	0	0	0	53	45	0	0	0	0	0	0	0	150	150000
302030	龙麟铠甲(男)	302030	15	0	0	0	65	58	0	0	0	0	0	0	0	165	165000
302031	奇迹庇佑(男)	302031	16	0	0	0	80	64	0	0	0	0	0	0	0	180	180000
303001	布衣(女)	303001	1	0	0	0	1	1	0	0	0	0	0	0	0	1	120
303002	轻型盔甲(女)	303002	1	0	0	0	3	2	0	0	0	0	0	0	0	11	3000
303003	中型盔甲(女)	303003	1	0	0	0	4	2	0	0	0	0	0	0	0	16	6000
303004	重盔甲(女)	303004	1	0	0	0	6	3	0	0	0	0	0	0	0	22	12000
303005	魔法长袍(女)	303005	1	0	0	0	4	4	0	0	0	0	0	0	0	22	12000
303006	灵魂战衣(女)	303006	1	0	0	0	5	3	0	0	0	0	0	0	0	22	10000
303007	战神盔甲(女)	303004	2	0	0	0	7	4	0	0	0	0	0	0	1	46	25000
303008	幽灵战衣(女)	303006	2	0	0	0	6	3	0	0	0	0	0	0	3	27	22000
303009	恶魔长袍(女)	303005	2	0	0	0	6	4	0	0	0	0	0	0	2	28	22000
303010	圣战宝甲	303010	5	0	0	0	9	6	0	0	0	0	0	0	0	40	50000
303011	霓裳羽衣	303011	5	0	0	0	7	8	0	0	0	0	0	0	0	40	50000
303012	天师长袍	303012	5	0	0	0	7	7	0	0	0	0	0	0	0	40	50000
303013	雷霆战甲(女)	303013	6	0	0	0	9	6	0	0	0	0	0	0	0	48	80000
303014	烈焰魔衣(女)	303013	6	0	0	0	7	8	0	0	0	0	0	0	0	48	80000
303015	光芒道袍(女)	303013	6	0	0	0	8	8	0	0	0	0	0	0	0	48	80000
303016	凰天魔衣	303016	6	0	0	0	10	8	0	0	0	0	0	0	0	52	120000
303017	虎啸战甲(女)	303017	7	0	0	0	14	10	0	0	0	0	0	0	1	65	90000
303018	聚魔法衣(女)	303018	7	0	0	0	10	14	0	0	0	0	0	0	2	52	90000
303019	暗咒道袍(女)	303019	7	0	0	0	12	12	0	0	0	0	0	0	3	48	90000
303020	王者甲(女)	303020	9	0	0	0	22	19	0	0	0	0	0	0	0	85	50000
303021	王者衣(女)	303021	9	0	0	0	19	22	0	0	0	0	0	0	0	85	50000
303022	王者袍(女)	303022	9	0	0	0	20	20	0	0	0	0	0	0	0	85	50000
303023	天龙甲(女)	303023	12	0	0	0	32	28	0	0	0	0	0	0	0	120	120000
303024	天龙衣(女)	303023	12	0	0	0	28	32	0	0	0	0	0	0	0	120	120000
303025	天龙袍(女)	303023	12	0	0	0	30	30	0	0	0	0	0	0	0	120	120000
303026	倚天甲(女)	303026	13	0	0	0	43	36	0	0	0	0	0	0	0	135	135000
303027	倚天衣(女)	303026	13	0	0	0	36	43	0	0	0	0	0	0	0	135	135000
303028	倚天袍(女)	303026	13	0	0	0	40	40	0	0	0	0	0	0	0	135	135000
303029	传奇神装(女)	303029	14	0	0	0	53	45	0	0	0	0	0	0	0	150	150000
303030	龙麟铠甲(女)	303030	15	0	0	0	65	58	0	0	0	0	0	0	0	165	165000
303031	奇迹庇佑(女)	303031	16	0	0	0	80	64	0	0	0	0	0	0	0	180	180000
304001	青铜头盔	304001	1	0	0	0	1	0	0	0	0	0	0	0	0	10	1000
304002	魔法头盔	304001	1	0	0	0	1	1	0	0	0	0	0	0	0	14	2000
304003	骷髅头盔	304003	1	0	0	0	3	0	0	0	0	0	0	0	1	30	8000
304004	道士头盔	304004	1	0	0	0	2	3	0	0	0	0	0	0	0	24	5000
304005	记忆头盔	304005	4	0	0	0	3	0	0	0	0	0	0	0	0	26	10000
304006	祈祷头盔	304006	4	1	0	0	4	2	0	0	0	0	0	0	0	18	20000
304007	黑铁头盔	304007	3	0	0	0	5	3	0	0	0	0	0	0	1	46	25000
304008	圣战头盔	304008	4	0	0	0	5	3	0	0	0	0	0	0	1	40	35000
304009	法神头盔	304009	4	0	0	0	4	2	0	0	0	0	0	0	2	28	35000
304010	天尊头盔	304010	4	0	0	0	4	2	0	0	0	0	0	0	3	25	35000
304011	圣龙盔	304011	6	0	0	0	6	3	0	0	0	0	0	0	0	45	20000
304012	天龙盔	304011	6	0	0	0	4	4	0	0	0	0	0	0	0	45	20000
304013	魔龙盔	304011	6	0	0	0	3	6	0	0	0	0	0	0	0	45	20000
304014	星王战盔	304014	7	0	0	0	6	5	0	0	0	0	0	0	0	60	20000
304015	星王魔盔	304014	7	0	0	0	5	6	0	0	0	0	0	0	0	60	20000
304016	星王道盔	304014	7	0	0	0	6	6	0	0	0	0	0	0	0	60	20000
304017	狂雷战盔	304017	8	0	0	0	12	5	0	0	0	0	0	0	0	70	20000
304018	逆火魔盔	304018	8	0	0	0	5	12	0	0	0	0	0	0	0	70	20000
304019	通云道盔	304019	8	0	0	0	9	9	0	0	0	0	0	0	0	70	20000
304020	王者战盔	304020	9	0	0	0	14	6	0	0	0	0	0	0	0	80	20000
304021	王者魔盔	304020	9	0	0	0	6	14	0	0	0	0	0	0	0	80	20000
304022	王者道盔	304020	9	0	0	0	11	11	0	0	0	0	0	0	0	80	20000
304023	炎龙战盔	304023	10	0	0	0	17	9	0	0	0	0	0	0	0	90	50000
304024	雷龙魔盔	304024	10	0	0	0	9	17	0	0	0	0	0	0	0	90	50000
304025	青龙道盔	304025	10	0	0	0	14	14	0	0	0	0	0	0	0	90	50000
304026	荣耀战盔	304026	11	0	0	0	20	14	0	0	0	0	0	0	0	100	100000
304027	荣耀魔盔	304027	11	0	0	0	14	20	0	0	0	0	0	0	0	100	100000
304028	荣耀道盔	304028	11	0	0	0	17	17	0	0	0	0	0	0	0	100	100000
304029	天龙战盔	304029	12	0	0	0	24	15	0	0	0	0	0	0	0	115	115000
304030	天龙魔盔	304029	12	0	0	0	15	24	0	0	0	0	0	0	0	115	115000
304031	天龙道盔	304029	12	0	0	0	21	21	0	0	0	0	0	0	0	115	115000
304032	虎威战盔	304032	13	0	0	0	28	18	0	0	0	0	0	0	0	130	130000
304033	虎威法冠	304032	13	0	0	0	18	28	0	0	0	0	0	0	0	130	130000
304034	虎威道盔	304032	13	0	0	0	25	25	0	0	0	0	0	0	0	130	130000
304035	传奇之冠	304035	14	0	0	0	30	30	0	0	0	0	0	0	0	145	145000
305001	金项链	305001	1	0	0	0	0	0	0	1	0	0	0	0	0	2	500
305002	传统项链	0	1	0	0	0	0	0	0	1	0	0	0	0	0	3	1000
305003	黑檀项链	305003	1	0	0	0	0	0	0	0	1	0	0	0	0	13	1200
305004	黄色水晶项链	305004	1	0	0	0	0	0	0	0	0	0	1	0	0	13	1200
305005	黑色水晶项链	305005	1	0	0	0	0	0	1	0	0	0	0	0	0	13	1500
305006	灯笼项链	305006	1	0	0	0	0	0	1	0	0	0	0	0	0	18	3000
305007	白色虎齿项链	305007	1	0	0	0	0	0	0	0	0	0	1	1	3	11	3000
305008	白金项链	305008	1	0	0	0	0	0	0	0	0	2	0	0	2	10	2000
305009	魔鬼项链	305009	1	0	0	0	0	0	2	0	0	0	0	0	0	17	2500
305010	蓝翡翠项链	305010	1	0	0	0	0	0	2	2	0	0	0	0	0	23	10000
305011	琥珀项链	305011	1	0	0	0	0	0	0	0	2	0	0	0	0	17	2000
305012	放大镜	305012	1	0	0	0	0	0	0	0	1	3	0	0	0	24	6000
305013	竹笛	305013	1	0	0	0	0	0	0	0	0	0	1	3	0	24	6000
305014	凤凰明珠	305014	1	0	0	0	0	0	0	0	0	0	1	2	0	17	2000
305015	狂风项链	305015	1	0	135	0	0	0	0	1	0	0	0	0	0	19	20000
305016	记忆项链	305016	4	0	0	0	0	0	2	4	0	0	0	0	0	26	10000
305017	祈祷项链	305017	4	0	0	0	0	0	0	0	0	0	0	4	0	15	20000
305018	魔血项链	305018	3	0	0	0	0	0	2	2	1	3	0	0	0	33	50000
305019	虹魔项链	305019	3	0	0	0	0	0	0	0	0	4	0	0	0	33	50000
305020	生命项链	305020	2	0	0	0	0	0	0	0	1	5	0	0	2	25	10000
305021	天珠项链	305021	2	0	0	0	0	0	0	0	0	0	1	5	3	22	10000
305022	幽灵项链	305022	2	0	0	0	0	0	0	5	0	0	0	0	0	24	10000
305023	绿色项链	305023	3	0	0	0	0	0	2	5	0	0	0	0	1	37	20000
305024	灵魂项链	305024	3	0	0	0	0	0	0	0	0	0	1	6	3	23	25000
305025	恶魔铃铛	305025	3	0	0	0	0	0	0	0	0	7	0	0	2	27	25000
305026	圣战项链	305026	4	0	0	0	0	0	3	6	0	0	0	0	1	40	35000
305027	法神项链	305027	4	0	0	0	0	0	0	0	1	8	0	0	2	28	35000
305028	天尊项链	305028	4	0	0	0	0	0	0	0	0	0	2	7	3	25	35000
305029	战神项链	305029	6	1	0	0	0	0	3	8	0	0	0	0	1	54	20000
305030	圣魔项链	305030	6	0	0	0	0	0	0	0	0	9	0	0	2	32	20000
305031	真魂项链	305031	6	0	0	0	0	0	0	0	0	0	1	9	3	30	20000
305032	雷霆项链	305032	6	0	0	0	0	0	3	7	0	0	0	0	1	45	35000
305033	烈焰项链	305033	6	0	0	0	0	0	0	0	1	9	0	0	2	30	35000
305034	光芒项链	305034	6	0	0	0	0	0	0	0	0	0	2	8	3	28	35000
305035	星王项链(战)	305035	7	0	0	0	0	0	3	9	0	0	0	0	0	60	20000
305036	星王项链(法)	305035	7	0	0	0	0	0	0	0	0	10	0	0	0	60	20000
305037	星王项链(道)	305035	7	0	0	0	0	0	0	0	0	0	1	9	0	60	20000
305038	狂雷项链	305038	8	0	0	0	0	0	5	12	0	0	0	0	0	70	20000
305039	逆火项链	305039	8	0	0	0	0	0	0	0	0	13	0	0	0	70	20000
305040	通云项链	305040	8	0	0	0	0	0	0	0	0	0	2	13	0	70	20000
305041	王者项链(战)	305041	9	0	0	0	0	0	7	14	0	0	0	0	0	80	20000
305042	王者项链(法)	305041	9	0	0	0	0	0	0	0	3	15	0	0	0	80	20000
305043	王者项链(道)	305041	9	0	0	0	0	0	0	0	0	0	3	18	0	80	20000
305044	炎龙项链	305044	10	0	0	0	0	0	10	19	0	0	0	0	0	90	50000
305045	雷龙项链	305045	10	0	0	0	0	0	0	0	5	21	0	0	0	90	50000
305046	青龙项链	305046	10	0	0	0	0	0	0	0	0	0	5	24	0	90	50000
305047	荣耀项链(战)	305047	11	0	0	0	0	0	13	22	0	0	0	0	0	100	100000
305048	荣耀项链(法)	305048	11	0	0	0	0	0	0	0	9	23	0	0	0	100	100000
305049	荣耀项链(道)	305049	11	0	0	0	0	0	0	0	0	0	9	27	0	100	100000
305050	天龙项链(战)	305050	12	0	0	0	0	0	17	27	0	0	0	0	0	115	115000
305051	天龙项链(法)	305050	12	0	0	0	0	0	0	0	11	29	0	0	0	115	115000
305052	天龙项链(道)	305050	12	0	0	0	0	0	0	0	0	0	13	32	0	115	115000
305053	虎威项链(战)	305053	13	0	0	0	0	0	24	43	0	0	0	0	0	130	130000
305054	虎威项链(法)	305053	13	0	0	0	0	0	0	0	14	41	0	0	0	130	130000
305055	虎威项链(道)	305053	13	0	0	0	0	0	0	0	0	0	14	41	0	130	130000
305056	传奇项链(战)	305056	14	0	0	0	0	0	30	54	0	0	0	0	0	145	145000
305057	传奇项链(法)	305056	14	0	0	0	0	0	0	0	24	42	0	0	0	145	145000
305058	传奇项链(道)	305056	14	0	0	0	0	0	0	0	0	0	20	40	0	145	145000
306001	铁手镯	306001	1	0	0	0	1	0	0	0	0	0	0	0	0	3	800
306002	皮制手套	0	1	0	0	0	0	0	0	0	0	0	0	0	0	7	1500
306003	钢手镯	0	1	0	0	0	0	0	0	0	0	0	0	0	0	8	2000
306004	小手镯	306004	1	0	0	0	0	1	0	0	0	0	0	0	0	5	1000
306005	银手镯	0	1	0	0	0	0	0	0	0	0	0	0	0	0	7	1500
306006	大手镯	306006	1	0	0	0	1	1	0	0	0	0	0	0	0	9	5000
306007	躲避手链	0	1	0	0	0	0	0	0	0	0	0	0	0	3	12	25000
306008	夏普儿手镯	0	1	0	0	0	0	0	0	0	0	0	0	0	0	16	20000
306009	避邪手镯	0	1	0	0	0	0	0	0	0	0	0	0	0	0	19	20000
306010	坚固手套	306010	1	0	0	0	2	0	0	0	0	0	0	0	0	18	7000
306011	魔法手镯	306011	1	0	0	0	0	2	0	0	0	0	0	0	0	18	4000
306012	死神手套	306012	1	0	0	0	0	0	1	2	0	0	0	0	0	22	8000
306013	金手镯	306013	1	0	0	0	0	3	0	1	0	0	0	0	0	23	7000
306014	道士手镯	306014	1	0	0	0	0	0	0	0	0	0	0	1	0	19	4000
306015	黑檀手镯	306015	1	0	0	0	0	0	0	0	0	1	0	0	0	19	4000
306016	记忆手镯	306016	4	0	0	0	0	0	0	0	1	1	0	0	0	26	10000
306017	祈祷手镯	306017	4	1	0	0	0	0	0	2	0	0	0	0	0	15	20000
306018	幽灵手套	306018	1	0	0	0	3	0	0	0	0	0	0	0	0	25	8000
306019	阎罗手套	306019	1	0	0	0	4	0	0	0	0	0	0	0	0	30	10000
306020	魔力手镯	306020	1	0	0	0	2	0	0	1	0	0	0	0	0	20	8000
306021	思贝儿手镯	306021	2	0	0	0	0	0	0	0	0	2	0	0	2	24	10000
306022	心灵手镯	306022	2	0	0	0	0	0	0	0	0	0	1	2	3	24	13000
306023	魔血手镯	306023	3	0	0	0	0	0	0	0	0	0	0	1	0	33	50000
306024	虹魔手镯	306024	3	0	0	0	0	0	0	0	0	0	0	2	0	33	50000
306025	骑士手镯	306025	3	0	0	0	0	0	2	2	0	0	0	0	1	39	15000
306026	龙之手镯	306026	3	0	0	0	0	0	0	0	0	3	0	0	2	28	12000
306027	三眼手镯	306027	3	0	0	0	1	0	0	0	0	0	1	3	3	22	10000
306028	圣战手镯	306028	4	0	0	0	1	0	2	3	0	0	0	0	1	40	35000
306029	法神手镯	306029	4	0	0	0	1	0	0	0	0	4	0	0	2	28	35000
306030	天尊手镯	306030	4	0	0	0	2	0	0	0	0	0	1	4	3	25	35000
306031	战神手镯	306031	6	0	0	0	1	0	1	5	0	0	0	0	1	54	25000
306032	圣魔手镯	306032	6	0	0	0	1	1	0	0	1	5	0	0	2	32	25000
306033	真魂手镯	306033	6	0	0	0	0	0	0	0	0	0	1	5	3	30	25000
306034	雷霆护腕	306034	6	0	0	0	1	1	1	4	0	0	0	0	1	45	20000
306035	烈焰护腕	306035	6	0	0	0	1	0	0	0	2	4	0	0	2	30	20000
306036	光芒护腕	306036	6	0	0	0	2	0	0	0	0	0	2	4	3	28	20000
306037	星王护腕(战)	306037	7	0	0	0	1	0	1	6	0	0	0	0	0	60	20000
306038	星王护腕(法)	306037	7	0	0	0	1	1	0	0	1	6	0	0	0	60	20000
306039	星王护腕(道)	306037	7	0	0	0	0	1	0	0	0	0	1	6	0	60	20000
306040	狂雷护腕	306040	8	0	0	0	1	0	2	10	0	0	0	0	0	70	20000
306041	逆火护腕	306041	8	0	0	0	2	2	0	0	3	8	0	0	0	70	20000
306042	通云护腕	306042	8	0	0	0	0	2	0	0	0	0	3	8	0	70	20000
306043	王者护腕(战)	306043	9	0	0	0	2	0	3	12	0	0	0	0	0	80	20000
306044	王者护腕(法)	306043	9	0	0	0	2	2	0	0	3	12	0	0	0	80	20000
306045	王者护腕(道)	306043	9	0	0	0	0	2	0	0	0	0	3	12	0	80	20000
306046	炎龙护腕	306046	10	0	0	0	3	0	6	14	0	0	0	0	0	90	50000
306047	雷龙护腕	306047	10	0	0	0	3	3	0	0	6	14	0	0	0	90	50000
306048	青龙护腕	306048	10	0	0	0	0	2	0	0	0	0	6	14	0	90	50000
306049	荣耀护腕(战)	306049	11	0	0	0	3	0	7	22	0	0	0	0	0	100	100000
306050	荣耀护腕(法)	306050	11	0	0	0	3	3	0	0	7	18	0	0	0	100	100000
306051	荣耀护腕(道)	306051	11	0	0	0	0	2	0	0	0	0	5	22	0	100	100000
306052	天龙护腕(战)	306052	12	0	0	0	2	2	12	26	0	0	0	0	0	115	115000
306053	天龙护腕(法)	306052	12	0	0	0	2	2	0	0	10	26	0	0	0	115	115000
306054	天龙护腕(道)	306052	12	0	0	0	2	2	0	0	0	0	8	26	0	115	115000
306055	虎威护腕(战)	306055	13	0	0	0	4	4	19	34	0	0	0	0	0	130	130000
306056	虎威护腕(法)	306055	13	0	0	0	4	4	0	0	17	31	0	0	0	130	130000
306057	虎威护腕(道)	306055	13	0	0	0	4	4	0	0	0	0	14	31	0	130	130000
306058	传奇护腕(战）	306058	14	0	0	0	2	0	31	42	0	0	0	0	0	145	145000
306059	传奇护腕(法）	306058	14	0	0	0	0	3	0	0	27	36	0	0	0	145	145000
306060	传奇护腕(道）	306058	14	0	0	0	2	2	0	0	0	0	25	37	0	145	145000
307001	古铜戒指	307001	1	0	0	0	0	0	0	1	0	0	0	0	0	3	500
307002	六角戒指	307002	1	0	0	0	0	0	0	0	0	1	0	0	0	7	800
307003	玻璃戒指	307003	1	0	0	0	0	0	0	0	0	0	0	1	0	7	800
307004	牛角戒指	307004	1	0	0	0	0	1	0	1	0	0	0	0	0	9	1000
307005	蓝色水晶戒指	307005	1	0	0	0	0	1	1	0	0	0	0	0	0	16	1500
307006	生铁戒指	307006	1	0	0	0	1	0	0	0	0	1	0	0	2	9	3000
307007	金戒指	307007	1	0	0	0	0	2	1	1	1	1	1	1	0	20	8000
307008	魅力戒指	307008	1	0	0	0	0	0	0	0	1	2	0	0	0	23	4000
307009	道德戒指	307009	1	0	0	0	0	0	0	0	0	0	1	2	0	23	4000
307010	降妖除魔戒指	307010	1	0	0	0	0	2	1	2	1	2	1	2	0	25	10000
307011	黑色水晶戒指	307011	1	0	0	0	0	0	0	2	0	0	0	0	0	20	2000
307012	珊瑚戒指	307012	1	0	0	0	0	0	0	4	0	0	0	0	0	25	15000
307013	蛇眼戒指	307013	1	0	0	0	0	0	0	0	0	2	0	0	0	20	2000
307014	红宝石戒指	307014	2	0	0	0	0	0	0	0	0	4	0	0	2	17	15000
307015	珍珠戒指	307015	1	0	0	0	0	0	0	0	0	0	0	2	0	20	2000
307016	铂金戒指	307016	2	0	0	0	0	0	0	0	0	0	0	4	3	17	15000
307017	骷髅戒指	307017	1	0	0	0	0	0	0	3	0	0	0	0	1	30	5000
307018	龙之戒指	307018	2	0	0	0	0	0	0	5	0	0	0	0	1	37	20000
307019	火焰戒指	307019	4	0	0	0	1	0	0	0	1	2	0	0	0	16	20000
307020	记忆戒指	307020	4	0	0	0	0	0	0	0	0	0	1	3	0	26	10000
307021	祈祷戒指	307021	4	1	0	0	0	0	0	0	1	5	0	0	0	15	20000
307022	力量戒指	307022	3	0	0	0	0	0	0	6	0	0	0	0	1	46	20000
307023	紫碧螺	307023	3	0	0	0	0	0	0	0	0	5	0	0	2	24	15000
307024	泰坦戒指	307024	3	0	0	0	0	0	0	0	0	0	2	6	3	24	15000
307025	魔血戒指	307025	3	0	0	0	0	0	1	3	0	0	1	0	0	33	50000
307026	虹魔戒指	307026	3	0	0	0	0	0	0	4	0	0	0	0	0	33	50000
307027	圣战戒指	307027	4	0	0	0	0	1	0	7	0	0	0	0	1	40	35000
307028	法神戒指	307028	4	0	0	0	0	1	0	0	1	6	0	0	2	28	35000
307029	天尊戒指	307029	4	0	0	0	0	1	0	0	0	0	2	7	3	25	35000
307030	战神戒指	307030	6	0	0	0	0	1	0	9	0	0	0	0	1	54	25000
307031	圣魔戒指	307031	6	0	0	0	0	1	0	0	2	8	0	0	2	32	25000
307032	真魂戒指	307032	6	0	0	0	0	1	0	0	0	0	2	9	3	30	25000
307033	雷霆战戒	307033	6	0	0	0	0	0	0	8	0	0	0	0	1	45	25000
307034	烈焰魔戒	307034	6	0	0	0	0	0	0	0	1	7	0	0	2	30	25000
307035	光芒道戒	307035	6	0	0	0	0	0	0	0	0	0	1	8	3	28	25000
